boot,minute,raw,pct
1,0,2508,56.68
1,1,2508,55.89
1,2,2476,56.05
1,0,1,2506,55.90
2,1,1,2500,56.71
2,2,1,2506,56.26
2,3,1,2502,56.55
2,4,1,2504,55.80
2,5,1,2502,55.86
2,6,1,2496,56.08
2,7,1,2504,56.23
2,8,1,2468,57.10
2,9,1,2472,56.55
2,10,1,2502,56.39
2,11,1,2498,55.81
2,12,1,2498,56.06
3,13,1,2468,57.15
3,14,1,2510,56.60
3,15,1,2332,32.13
#RESET,16
3,16,1,2126,73.32
4,17,1,2140,73.04
4,18,1,2136,73.17
4,19,1,2132,73.36
4,20,1,2126,73.57
4,21,1,2124,73.73
4,22,1,2118,73.90
4,23,1,2114,74.04
4,24,1,2112,74.18
4,25,1,2114,74.30
4,26,1,2112,74.39
4,27,1,2106,74.48
4,28,1,2106,74.56
4,29,1,2102,74.65
4,30,1,2104,74.70
4,31,1,2100,74.79
4,32,1,2100,74.85
4,33,1,2100,74.89
4,34,1,2100,74.97
4,35,1,2098,75.03
4,36,1,2092,75.10
4,37,1,2092,75.13
4,38,1,2092,75.18
4,39,1,2090,75.22
4,40,1,2092,75.26
4,41,1,2092,75.31
4,42,1,2090,75.35
4,43,1,2090,75.39
4,44,1,2090,75.40
4,45,1,2088,75.45
4,46,1,2086,75.49
4,47,1,2088,75.51
4,48,1,2084,75.53
4,49,1,2090,75.56
4,50,1,2084,75.59
4,51,1,2086,75.60
4,52,1,2082,75.65
4,53,1,2084,75.67
4,54,1,2080,75.72
4,55,1,2082,75.73
4,56,1,2080,75.77
4,57,1,2080,75.79
4,58,1,2080,75.81
4,59,1,2080,75.84
4,60,1,2078,75.85
4,61,1,2074,75.87
4,62,1,2078,75.88
4,63,1,2080,75.92
4,64,1,2078,75.92
4,65,1,2078,75.95
4,66,1,2076,75.96
4,67,1,2076,75.99
4,68,1,2074,76.01
4,69,1,2076,76.00
4,70,1,2076,76.05
4,71,1,2074,76.07
4,72,1,2074,76.09
4,73,1,2074,76.09
4,74,1,2074,76.12
4,75,1,2072,76.14
4,76,1,2076,76.16
4,77,1,2070,76.16
4,78,1,2072,76.20
